code,subtype,type,src/0,src/1,title,price,location,size,measurement,suitability/0,suitability/1,suitability/2,src/2,src/3,suitability/3,suitability/4,suitability/5,suitability/6,suitability/7,suitability/8,src/4,src/5,src/6,src/7,src/8,src/9,src/10,src/11,src/12,details/0,details/1,details/2,details/3,details/4,details/5,details/6,room,bath,subtitle/0,suitability/9,suitability/10,suitability/11,suitability/12,suitability/13,suitability/14,suitability/15,suitability/16,suitability/17,suitability/18,suitability/19,suitability/20,subitle,suitability/21,suitability/22,suitability/23,suitability/24,details/7,subtitle/1,subtitle/2,subtitle/3,subtitle/4,details/8,subtitle/5,details/9,details/10,details/11
A106,cfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/freedom-way.jpg,,Commercial Property Located on Freedom Way Lekki Phase 1,"₦ 1, 100, 000, 000",Lekki Phase 1,988,sqm,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: Governor's consent,,,,,,,,,Land size: 988 sqm. 500sqm + 488 sqm (setback) facing Freedom Way Lekki phase 1,Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
A103,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/bishop-oluwole.jpg,,2000 SQM on Bishop Oluwole Road Victoria Island,"₦ 2, 200, 000 per square",Victoria Island,"2,000",sqm,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: C of O,,,,,,,,,"Prime 2,000 sqm on Bishop Oluwole road via Ahmadu Bello way VI, Lagos.",Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/lateef-jakande.jpg,,2.247 hectres of mixed development land in ikeja,"₦ 10, 300, 000, 000","Lateef Jakande Road, Ikeja","2,247",hectares,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: C of O,,,,,,,,,Prime 2.247 Hectares of Land Suitable for Mixed Development purposes,Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/murtala-mohammed.mp4,,"30 Acres of Land at International Airport Road, Ajao Lagos","₦ 45, 000, 000, 000","Airport Road, Ajao Lagos",30,acres,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: C of O,,,,,,,,,,Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,"Prime 3 Acres of land along the Muritala Muhammed International airport, Lagos",,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/kudirat-abiola.jpg,,"6,000 sqm of land kudirat abiola way ikeja lagos","₦ 3, 200, 000, 000","Kudirat Abiola Way, Ikeja","6,000",sqm,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: C of O,,,,,,,,,6000 SQM of Land Suitable for Mixed Development Purposes,Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/oniru-vi.mp4,,"4, 500 SQM of Land at Victoria Island, Lagos","₦ 4, 500, 000, 000","Oniru, Victoria Island","4,500",sqm,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: C of O,,,,,,,,,"4,500 sqm of bare land, fenced and gated on Water Corporation road, VI Oniru area in Lagos",Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/2-hectres.mp4,,2 Hectres of Corner Piece Land in Victoria Island Lagos,"₦ 43,000, 000, 000",Victoria Island Lagos,2,hectres,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: Governor's Consent,,,,,,,,,"Prime & Dual corner piece 2 Hectres of solid bareland, directly on Akin Adesola Road, Victoria Island, Lagos",Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
A106,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/land4.jpg,,"3,000 SQM of Land Off Freedom Way Ikate, Lekki Lagos","₦ 2, 100, 000, 000","Ikate, Lekki Lagos","3,000",sqm,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: Deed of Assignment and C of O,,,,,,,,,,Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
A106,cfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/warehouse1.jpg,,"3 Bay Warehouse on 10,000 SQM of Land on Kudirat Abiola Way, Oregun, Ikeja Lagos","₦ 6, 500, 000, 000","Kudirat Abiola Way, Oregun, Ikeja Lagos","10,000",sqm,Logistics and distribution center,E-commerce fulfillment center,Cold storage and refrigeration facility,,,Food processing and packaging plant,Manufacturing and assembly operations,Import/export storage depot,Wholesale trading hub,Industrial equipment storage,Truck and fleet maintenance yard,,,,,,,,,,title: C of O,,,,,,,,,"Prime 10,000 sqm land with a 3 bay warehouse located along Kudirat Abiola Way, Oregun Ikeja, Lagos",Retail goods storage,Agricultural product storage,Automotive parts storage and dispatch,Furniture and building materials depot,Tech hardware distribution,Pharmaceutical storage and distribution,Data center,Beverage bottling and storage plant,Textile and garment production facility,Waste management and recycling plant,Oil and gas tools or pipeline equipment storage,Third-party logistics (3PL) facility,,Event gear rental and storage,Airport or port support warehouse,Customs bonded warehouse,Construction materials hub,,,,,,,,,,
A107,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/cornerpiece-yaba.mp4,,"3,615 SQM Corner Piece Land at Yaba Lagos","₦ 2, 000, 000, 000",Yaba Lagos,"3,615",sqm,Private residence,Duplexes,Townhouses,,,Small block of flats,Small gated community,Petrol station,Fast food restaurant / drive-thru,Office building,Boutique hotel,,,,,,,,,,title: C of O,,,,,,,,,"Mixed developement corner peice, vacant land measuring 3,615 sqm on Edmond Crescent, Yaba Lagos",Guesthouse,Event center,School,Clinic,Small hospital,Religious center,Community center,Supermarket,Mixed-use building,,,,,,,,,,,,,,,,,,
